"Midgee 60623" -- "Amaurobiidae 2693"
"Physalaemus pustulatus 17262" -- "None 17261"
"polytreta group 610" -- "Geballusa 223"
"Octopicolidae 6576" -- "Poecilostomatoida 6459"
"None 19043" -- "None 19038"
"None 19043" -- "None 19045"
"Sliferia 8491" -- "Blattellinae 8356"
"Oleria makrena 72406" -- "Oleria 27611"
"Lycosidae 2746" -- "Orinocosa 59509"
"Lycosidae 2746" -- "Prolycosides 59520"
"Lycosidae 2746" -- "Pirata 59517"
"Lycosidae 2746" -- "Orthocosa 59510"
"Lycosidae 2746" -- "Ocyale 59508"
"Lycosidae 2746" -- "Xerolycosa 59546"
"Lycosidae 2746" -- "Varacosa 59540"
"Lycosidae 2746" -- "None 2744"
"Lycosidae 2746" -- "Tricassa 59536"
"Lycosidae 2746" -- "Pardosella 59513"
"Lycosidae 2746" -- "Rabidosa 59525"
"Lycosidae 2746" -- "Mustelicosa 59505"
"Lycosidae 2746" -- "Pterartoriola 59523"
"Lycosidae 2746" -- "Sibirocosa 59529"
"Lycosidae 2746" -- "Mongolicosa 59504"
"Lycosidae 2746" -- "Trochosula 59539"
"Lycosidae 2746" -- "Trochosa 59537"
"Lycosidae 2746" -- "Molitorosa 59503"
"Lycosidae 2746" -- "Phonophilus 59516"
"Lycosidae 2746" -- "Trochosippa 59538"
"Lycosidae 2746" -- "Oculicosa 59507"
"Lycosidae 2746" -- "Satta 59526"
"Lycosidae 2746" -- "Zenonina 59548"
"Lycosidae 2746" -- "Tasmanicosa 59532"
"Lycosidae 2746" -- "Pardosa 59512"
"Lycosidae 2746" -- "Schizocosa 59527"
"Lycosidae 2746" -- "Notocosa 59506"
"Lycosidae 2746" -- "Venator 59541"
"Lycosidae 2746" -- "Trabea 59533"
"Lycosidae 2746" -- "Zoica 59549"
"Lycosidae 2746" -- "Trabeops 59534"
"Lycosidae 2746" -- "Vesubia 59544"
"Lycosidae 2746" -- "Zantheres 59547"
"Lycosidae 2746" -- "Syroloma 59531"
"Lycosidae 2746" -- "Passiena 59514"
"Lycosidae 2746" -- "Proevippa 59519"
"Lycosidae 2746" -- "Pterartoria 59522"
"Lycosidae 2746" -- "Piratosa 59518"
"Lycosidae 2746" -- "Shapna 59528"
"Lycosidae 2746" -- "Pyrenecosa 59524"
"Lycosidae 2746" -- "Sosippus 59530"
"Lycosidae 2746" -- "Wadicosa 59545"
"Lycosidae 2746" -- "Venatrix 59542"
"Lycosidae 2746" -- "Paratrochosina 59511"
"Lycosidae 2746" -- "Trebacosa 59535"
"Lycosidae 2746" -- "Pseudevippa 59521"
"Lycosidae 2746" -- "Pavocosa 59515"
"Lycosidae 2746" -- "Venonia 59543"
"Perlodidae 13952" -- "Perlodinae 14332"
"Perlodidae 13952" -- "None 13951"
"Blattellinae 8356" -- "Xosaia 8503"
"Blattellinae 8356" -- "Onycholobus 8460"
"Blattellinae 8356" -- "Miriamrothschildia 8446"
"Blattellinae 8356" -- "Pholeosilpha 8473"
"Blattellinae 8356" -- "Nothoblatta 8458"
"Blattellinae 8356" -- "Tairella 8496"
"Blattellinae 8356" -- "Sciablatta 8487"
"Blattellinae 8356" -- "Pseudothyrsocera 8481"
"Blattellinae 8356" -- "Paraloboptera 8466"
"Blattellinae 8356" -- "Squamoptera 8492"
"Blattellinae 8356" -- "Nondewittea 8457"
"Blattellinae 8356" -- "Sigmella 8489"
"Blattellinae 8356" -- "Rhytidometopum 8482"
"Blattellinae 8356" -- "Termitoblatta 8499"
"Blattellinae 8356" -- "Stayella 8493"
"Blattellinae 8356" -- "Paratemnopteryx 8470"
"Blattellinae 8356" -- "Namablatta 8449"
"Blattellinae 8356" -- "Neoleptoblatta 8451"
"Blattellinae 8356" -- "Phymatosilpha 8474"
"Blattellinae 8356" -- "Temnopteryx 8498"
"Blattellinae 8356" -- "Parasigmoidella 8468"
"Blattellinae 8356" -- "Parascalida 8467"
"Blattellinae 8356" -- "Moluchia 8448"
"Blattellinae 8356" -- "Pseudectobia 8477"
"Blattellinae 8356" -- "Sinablatta 8490"
"Blattellinae 8356" -- "Xosablatta 8502"
"Blattellinae 8356" -- "Pseudosigmella 8479"
"Blattellinae 8356" -- "Molestella 8447"
"Blattellinae 8356" -- "Neotemnopteryx 8453"
"Blattellinae 8356" -- "Pseudomops 8478"
"Blattellinae 8356" -- "Neoloboptera 8452"
"Blattellinae 8356" -- "Nesomylachris 8454"
"Blattellinae 8356" -- "Parajacobsonina 8465"
"Blattellinae 8356" -- "Papuablatta 8464"
"Blattellinae 8356" -- "Nicuesa 8455"
"Blattellinae 8356" -- "Symplocodes 8495"
"Blattellinae 8356" -- "Parellipsidion 8472"
"Blattellinae 8356" -- "Nimbablatta 8456"
"Blattellinae 8356" -- "Pachneblatta 8463"
"Blattellinae 8356" -- "Richanitschia 8483"
"Blattellinae 8356" -- "Shawella 8488"
"Blattellinae 8356" -- "Trogloblattella 8500"
"Blattellinae 8356" -- "Ornatiblatta 8462"
