"odontologia" -- "materiais dentários"
"nutrición" -- "obesidade"
"invasive plants" -- "plant ecology"
"intergenerational relationships" -- "mental health"
"high-dimensional data" -- "machine learning"
"networked systems" -- "cloud computing"
"solar thermal energy" -- "fluid mechanics"
"maternity care" -- "midwifery"
"biofabrication" -- "tissue engineering"
"nonlinear partial differential equations" -- "fluid mechanics"
"grid computing" -- "cloud computing"
"bees" -- "pollination"
"international economics" -- "macroeconomics"
"federalism" -- "public policy"
"maritime history" -- "early modern history"
"taste" -- "olfaction"
"mixed-signal circuits" -- "analog"
"agenda setting" -- "public policy"
"formal political theory" -- "political economy"
"wood" -- "composites"
"entanglement" -- "quantum optics"
"entanglement" -- "quantum correlations"
"women s history" -- "history of medicine"
"bionics" -- "robotics"
"teacher training" -- "education"
"teacher training" -- "intercultural education"
"genetic diversity" -- "population genetics"
"sexuality" -- "sex work"
"sexuality" -- "reproductive health"
"sexuality" -- "gender"
"sexuality" -- "intimacy"
"networked control systems" -- "multi-agent systems"
"biointerfaces" -- "biomaterials"
"human anatomy" -- "physiology"
"sustainable transportation" -- "intelligent transportation systems"
"knowledge management" -- "competitive intelligence"
"knowledge management" -- "innovation"
"knowledge management" -- "practice theory"
"knowledge management" -- "intellectual capital"
"knowledge management" -- "value creation"
"knowledge management" -- "information management"
"knowledge management" -- "organizational development"
"knowledge management" -- "organizational learning"
"knowledge management" -- "knowledge sharing"
"subduction" -- "geology"
"visual working memory" -- "visual attention"
"image quality" -- "image processing"
"e-marketing" -- "tourism marketing"
"cognitive radio" -- "wireless communications"
"cognitive radio" -- "dynamic spectrum access"
"cognitive radio" -- "cooperative communications"
"cognitive radio" -- "radio wave propagation"
"cognitive radio" -- "interference alignment"
"cognitive radio" -- "spectrum sensing"
"cognitive radio" -- "software defined radio"
"cognitive radio" -- "cooperative networks"
"microbe-host interactions" -- "microbial ecology"
"multisensory integration" -- "perception"
"brain science" -- "neuroscience"
"medio ambiente" -- "urbanismo"
"medio ambiente" -- "agricultura"
"graphene" -- "boron nitride"
"graphene" -- "2d materials"
"graphene" -- "nanotechnology"
"graphene" -- "field emission"
"graphene" -- "cnts"
"graphene" -- "sic"
"graphene" -- "raman spectroscopy"
"graphene" -- "finfet"
