"dtn" -- "networks"
"intestinal stem cells" -- "cell death"
"industrial dynamics" -- "innovation"
"reliability engineering" -- "physical asset management"
"reliability engineering" -- "quality"
"health sciences" -- "public health"
"plant-insect interactions" -- "plant defense"
"plant-insect interactions" -- "chemical ecology"
"evolutionary systems biology" -- "systems biology"
"cost-benefit analysis" -- "policy analysis"
"pattern mining" -- "data mining"
"fiber sensors" -- "fiber lasers"
"central america" -- "gangs"
"implantology" -- "periodontology"
"machine design" -- "cad"
"lattice boltzmann" -- "cfd"
"geometry processing" -- "architectural geometry"
"geometry processing" -- "computer graphics"
"cooperative control" -- "multi-agent systems"
"maxillofacial surgery" -- "biomaterials"
"maxillofacial surgery" -- "oral"
"topography" -- "photogrammetry"
"first amendment" -- "constitutional law"
"virtualization security" -- "cloud security"
"zooarchaeology" -- "environmental archaeology"
"zooarchaeology" -- "archaeology"
"zooarchaeology" -- "animal domestication"
"superplasticity" -- "severe plastic deformation"
"superplasticity" -- "creep"
"interprofessional education" -- "simulation"
"sensorimotor learning" -- "neurophysiology"
"algal biotechnology" -- "phycology"
"electrostatics" -- "dynamics"
"adhesion" -- "polymers"
"filología" -- "lingüística"
"discrete mathematics" -- "graph theory"
"experimental software engineering" -- "software engineering"
"superconducting devices" -- "quantum computing"
"human resources for health" -- "global health"
"lifelogging" -- "information retrieval"
"spanish" -- "linguistics"
"reservoir computing" -- "neural networks"
"pavement engineering" -- "pavement materials"
"pavement engineering" -- "geotechnical engineering"
"neurons" -- "astrocytes"
"neurons" -- "axons"
"theorem proving" -- "formal methods"
"antibiotics" -- "microbiology"
"antibiotics" -- "bacterial resistance"
"supportive care in cancer" -- "pharmacoepidemiology"
"macroecology" -- "reef fish ecology"
"macroecology" -- "biogeography"
"integrated circuits" -- "systems"
"integrated circuits" -- "frequency synthesizer"
"integrated circuits" -- "rfic"
"integrated circuits" -- "cmos"
"integrated circuits" -- "image sensors"
"evaluación científica" -- "bibliometría"
"evaluación científica" -- "acceso abierto"
"mobile marketing" -- "customer relationship management"
"metal matrix composites" -- "corrosion"
"restauración" -- "conservación"
"restauración" -- "arquitectura"
"distributed databases" -- "distributed systems"
"representation" -- "responsibility"
"representation" -- "american politics"
"web accessibility" -- "machine learning"
"geophysics" -- "geothermal"
"geophysics" -- "geology"
"geophysics" -- "mantle dynamics"
"geophysics" -- "geodesy"
"geophysics" -- "petrophysics"
"geophysics" -- "geodynamics"
"geophysics" -- "radar remote sensing"
"geophysics" -- "animal navigation"
"geophysics" -- "seismic imaging"
"geophysics" -- "seismology"
"geophysics" -- "earthquake science"
"geophysics" -- "planetary science"
"geophysics" -- "exploration seismology"
"geophysics" -- "gpr"
"geophysics" -- "volcanoes"
"geophysics" -- "rock physics"
"geophysics" -- "earthquakes"
"geophysics" -- "space geodesy"
"geophysics" -- "mineral physics"
"geophysics" -- "seismic"
"geophysics" -- "inversion"
"geophysics" -- "magnetotellurics"
"geophysics" -- "earthquake seismology"
"groundwater remediation" -- "soil"
"neurovascular disease" -- "optical imaging"
"timber" -- "wood"
"colloids" -- "interfacial phenomena"
"colloids" -- "environmental photochemistry"
"colloids" -- "surfactants"
"colloids" -- "wetting"
"colloids" -- "emulsions"
"colloids" -- "asphaltenes"
"colloids" -- "bio-based materials"
"colloids" -- "interfacial engineering"
"colloids" -- "bacterial motility"
"colloids" -- "pathogen detection"
"colloids" -- "interfaces"
"colloids" -- "surface forces"
"colloids" -- "biomedical materials"
"colloids" -- "cellulose nanomaterials"
"colloids" -- "monolayers"
"colloids" -- "soft matter"
"colloids" -- "interfacial science"
"colloids" -- "interface science"
"representation theory" -- "lie algebras"
"representation theory" -- "cluster algebras"
"representation theory" -- "algebraic geometry"
"representation theory" -- "algebraic combinatorics"
"representation theory" -- "quantum groups"
"representation theory" -- "lie theory"
"representation theory" -- "quantum algebra"
"food insecurity" -- "nutrition"
"structural mechanics" -- "computational mechanics"
"visual tracking" -- "computer vision"
"political economy of development" -- "comparative politics"
"political economy of development" -- "authoritarian regimes"
"political economy of development" -- "political risk"
"mid-ocean ridges" -- "marine seismology"
"ophthalmic imaging" -- "adaptive optics"
"chimica farmaceutica" -- "medicina nucleare"
"chimica farmaceutica" -- "sintesi organica"
"chimica farmaceutica" -- "chimica organica"
"surveillance" -- "privacy"
"organic chemistry" -- "synthesis"
"organic chemistry" -- "aromaticity"
"organic chemistry" -- "peptide synthesis"
"organic chemistry" -- "catalysis"
"organic chemistry" -- "polymer chemistry"
"organic chemistry" -- "medicinal chemistry"
"organic chemistry" -- "organocatalysis"
"organic chemistry" -- "fluorine chemistry"
"organic chemistry" -- "carbohydrates"
"organic chemistry" -- "supramolecular chemistry"
"organic chemistry" -- "synthetic methodology"
"organic chemistry" -- "flow chemistry"
"organic chemistry" -- "carbohydrate chemistry"
"history of economic thought" -- "economic history"
"integrative physiology" -- "heart rate variability"
"mobile networks" -- "wireless"
"equity" -- "diversity"
"ecologia vegetal" -- "ecotoxicologia"
"prognostics" -- "diagnostics"
"prognostics" -- "health management"
"prognostics" -- "phm"
"cscw" -- "scientific collaboration"
"cscw" -- "cscl"
"cscw" -- "appropriation"
"cscw" -- "hci"
"scalability" -- "distributed systems"
"neurological rehabilitation" -- "stroke"
"protistology" -- "parasitology"
"semiconductor nanocrystals" -- "quantum dots"
"sistemas inteligentes" -- "inteligencia artificial"
"sistemas inteligentes" -- "planejamento energético"
"data centers" -- "tcp"
"data centers" -- "cloud computing"
"library systems" -- "library administration"
"public health nursing" -- "health promotion"
"triassic" -- "paleontology"
"swarm intelligence" -- "swarm robotics"
"swarm intelligence" -- "artificial intelligence"
"cryptology" -- "information security"
"root biology" -- "plant biology"
