"self-regulated learning" -- "metacognition"
"outcomes" -- "depression"
"semantics" -- "pragmatics"
"semantics" -- "syntax"
"chemical sensors" -- "electrochemistry"
"federalism" -- "public policy"
"tropical forests" -- "ecology"
"networked systems" -- "cloud computing"
"molecular ecology" -- "population genetics"
"racism" -- "race"
"systems analysis" -- "design"
"grid computing" -- "cloud computing"
"spanish" -- "linguistics"
"women s health" -- "reproductive health"
"operations research" -- "decision analysis"
"operations research" -- "integer programming"
"operations research" -- "vehicle routing"
"operations research" -- "network optimization"
"operations research" -- "optimization"
"operations research" -- "metaheuristics"
"operations research" -- "reliability engineering"
"operations research" -- "stochastic programming"
"operations research" -- "mathematical programming"
"operations research" -- "management science"
"operations research" -- "simulation modeling"
"operations research" -- "network design"
"operations research" -- "dynamic programming"
"operations research" -- "scheduling"
"operations research" -- "mathematical optimization"
"operations research" -- "data envelopment analysis"
"operations research" -- "stochastic optimization"
"operations research" -- "supply chain management"
"operations research" -- "air transportation"
"operations research" -- "industrial engineering"
"operations research" -- "combinatorial optimization"
"operations research" -- "decision science"
"operations research" -- "medical decision making"
"operations research" -- "robust optimization"
"operations research" -- "heuristics"
"saúde coletiva" -- "bioética"
"saúde coletiva" -- "epidemiologia"
"international economics" -- "macroeconomics"
"political theory" -- "democracy"
"political theory" -- "history of political thought"
"political theory" -- "democratic theory"
"political theory" -- "political philosophy"
"robot vision" -- "computer vision"
"gas sensors" -- "nanotechnology"
"modernism" -- "literary theory"
"multi-objective optimization" -- "evolutionary computation"
"plasmonics" -- "nanofabrication"
"plasmonics" -- "nanophotonics"
"plasmonics" -- "sensing"
"plasmonics" -- "nano-optics"
"plasmonics" -- "metamaterials"
"plasmonics" -- "optical trapping"
"plasmonics" -- "biosensing"
"plasmonics" -- "photonics"
"plasmonics" -- "sers"
"cross-cultural psychology" -- "social psychology"
"affect" -- "emotion"
"entanglement" -- "quantum optics"
"nitric oxide" -- "oxidative stress"
"ingegneria" -- "energia"
"biometrics" -- "pattern recognition"
"teacher training" -- "education"
"school counseling" -- "counselor education"
"school counseling" -- "career development"
"internet" -- "social media"
"intellectual disability" -- "autism spectrum disorder"
"intellectual disability" -- "autism"
"numerical methods" -- "computational methods"
"numerical methods" -- "computational mechanics"
"human computation" -- "crowdsourcing"
"sexuality" -- "reproductive health"
"sexuality" -- "gender"
"cold atoms" -- "quantum optics"
"molecular virology" -- "immunology"
"organisation" -- "management"
"zooarchaeology" -- "archaeology"
"zooarchaeology" -- "environmental archaeology"
"optimisation" -- "artificial intelligence"
"anesthesia" -- "intensive care"
"anesthesia" -- "pain"
"quaternary science" -- "geomorphology"
"human-computer interaction" -- "computer music"
"human-computer interaction" -- "mobile applications"
"human-computer interaction" -- "artificial intelligence"
"human-computer interaction" -- "interaction design"
"human-computer interaction" -- "eye tracking"
"human-computer interaction" -- "computer supported cooperative work"
"human-computer interaction" -- "accessibility"
"human-computer interaction" -- "social computing"
"human-computer interaction" -- "serious games"
"human-computer interaction" -- "information visualization"
"human-computer interaction" -- "user experience"
"human-computer interaction" -- "ubiquitous computing"
"human-computer interaction" -- "multimodal interaction"
"human-computer interaction" -- "assistive technology"
"human-computer interaction" -- "wearable technology"
