"geomicrobiology" -- "biogeochemistry"
"surface engineering" -- "materials engineering"
"surface engineering" -- "tribology"
"surface engineering" -- "coatings"
"emotion" -- "attention"
"emotion" -- "motivation"
"emotion" -- "mood"
"emotion" -- "affect"
"emotion" -- "emotion regulation"
"emotion" -- "empathy"
"emotion" -- "facial expressions"
"emotion" -- "music psychology"
"emotion" -- "behavioral disorders"
"emotion" -- "cognition"
"air quality" -- "atmospheric chemistry"
"air quality" -- "emissions"
"marketing communication" -- "advertising"
"mycology" -- "forest pathology"
"mycology" -- "plant pathology"
"mycology" -- "fungi"
"medical image computing" -- "medical image analysis"
"nanoscience" -- "nanotechnology"
"violence" -- "injury"
"violence" -- "aggression"
"violence" -- "gangs"
"mri" -- "medical imaging"
"mri" -- "diffusion"
"mri" -- "brain"
"mri" -- "ct"
"mri" -- "nmr"
"mri" -- "dti"
"mri" -- "pet"
"mri" -- "diffusion imaging"
"mri" -- "rf coils"
"asthma" -- "cystic fibrosis"
"asthma" -- "allergy"
"language teaching" -- "applied linguistics"
"hydrogeophysics" -- "near surface geophysics"
"hydrogeophysics" -- "hydrogeology"
"hydrogeophysics" -- "environmental geophysics"
"hydrogeophysics" -- "applied geophysics"
"dinosaurs" -- "vertebrate paleontology"
"mapreduce" -- "cloud computing"
"mapreduce" -- "hadoop"
"optical networks" -- "software defined networking"
"optical networks" -- "optical communications"
"cochlear implants" -- "hearing loss"
"cochlear implants" -- "hearing"
"cochlear implants" -- "hearing aids"
"cochlear implants" -- "speech perception"
"cochlear implants" -- "psychoacoustics"
"natural resource economics" -- "environmental economics"
"systemic functional linguistics" -- "discourse analysis"
"medical image processing" -- "image registration"
"food intake" -- "obesity"
"optical coherence tomography" -- "adaptive optics"
"optical coherence tomography" -- "biomedical optics"
"optical coherence tomography" -- "biomedical imaging"
"solar energy conversion" -- "photocatalysis"
"intergroup contact" -- "intergroup relations"
"endocrinology" -- "diabetes"
"object tracking" -- "computer vision"
"cell division" -- "cytoskeleton"
"cell migration" -- "cytoskeleton"
"cell migration" -- "cell mechanics"
"cell migration" -- "cancer metastasis"
"cell migration" -- "cell adhesion"
"mirna" -- "cancer"
"systems biology" -- "functional genomics"
"systems biology" -- "bioinformatics"
"systems biology" -- "systems medicine"
"systems biology" -- "network biology"
"systems biology" -- "systems pharmacology"
"systems biology" -- "metabolic engineering"
"systems biology" -- "synthetic biology"
"systems biology" -- "computational biology"
"composites" -- "rhetoric"
"composites" -- "impact"
"composites" -- "buckling"
"composites" -- "polymers"
"ethnomusicology" -- "musicology"
"ethnomusicology" -- "popular music"
"creativity" -- "giftedness"
"creativity" -- "innovation"
"creativity" -- "improvisation"
"interior design" -- "architecture"
"medical informatics" -- "health informatics"
"medical informatics" -- "clinical decision support"
"epidemiology" -- "public health"
"epidemiology" -- "birth outcomes"
"epidemiology" -- "biostatistics"
"epidemiology" -- "infectious diseases"
"self-assembly" -- "supramolecular chemistry"
"self-assembly" -- "block copolymers"
"self-assembly" -- "peptides"
"self-assembly" -- "colloids"
"self-assembly" -- "lithography"
"exposure assessment" -- "air pollution"
"reading development" -- "dyslexia"
"formal semantics" -- "pragmatics"
"hybrid vehicles" -- "internal combustion engines"
"open innovation" -- "innovation management"
"open innovation" -- "crowdsourcing"
"environmental analysis" -- "analytical chemistry"
"running" -- "biomechanics"
"ubiquitous computing" -- "ambient intelligence"
"ubiquitous computing" -- "pervasive"
"ubiquitous computing" -- "context-aware computing"
"ubiquitous computing" -- "mobile computing"
"ubiquitous computing" -- "human-computer interaction"
